nom_rue,numero,cp,ville,lat,lon
Place Esquirol,12,31000,Toulouse,43.600427,1.444587
Place du Capitole,1,31000,Toulouse,43.6040488,1.4430474000000686
Tripode C,7230,31077,Toulouse,43.56805079999999,1.4646139000000176
Blagnac,10,31000,Toulouse,43.61734790000001,1.4080569000000196
Colomiers,2,31000,Toulouse,43.65055599999999,1.3409755999999788
Tournefeuille,11,31000,Toulouse,43.5989643,1.3720390999999381
Balma,1,31000,Toulouse,43.609798,1.4955959999999777
La Cepiere,12,31000,Toulouse,43.5880956,1.407239200000049
Rangueil,32,31000,Toulouse,43.5658462,1.4579696000000695
Ramonville,10,31000,Toulouse,43.5447609,1.471523599999955
Minimes,42,31000,Toulouse,43.62140249999999,1.4313889999999674
Route de Narbonne,45,31000,Toulouse,43.62140249999977,1.4313889999639674
Frouzins,27,31000,Toulouse,43.621402487459977,1.4313119999639674
Saint Agne,01,31000,Toulouse,43.62140298999977,1.4313889999239674
Balma,06,31000,Toulouse,43.62140241999977,1.4311889999639674
Compans,51,31000,Toulouse,43.62140241009977,1.4313456999639674
Ramonville,23,31000,Toulouse,43.62140999999977,1.4313999999639674
Saint Michel,5,31000,Toulouse,43.62111249999977,1.1213889999639674
Empalot,43,31000,Toulouse,43.67140249999977,1.4313889999639674
Grand rond,7,31000,Toulouse,43.624640249999977,1.4243889999639674
Saouzelong,56,31000,Toulouse,43.62144349999977,1.4372889999639674
Basso Combo,3,31000,Toulouse,43.663140249999977,1.4307889999639674
Paul Sabatier,42,31000,Toulouse,43.603140249999977,1.44513889999639674
Tripode B,7596,31077,Toulouse,43.57140249999977,1.4645889999639674



